,total_images,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest
98,0,6180000.0,85.0,3,2.8,17.0,51.8,17,,False,False,17.5,0.0,16057.0,14853.0,0.0,,0.0,
99,15,11000000.0,97.9,3,2.75,16.0,57.7,3,,False,False,14.7,1.0,14069.0,12621.0,0.0,,0.0,
100,5,7835000.0,52.56,1,,24.0,15.36,2,,False,False,20.91,,43396.0,12153.0,0.0,,0.0,
101,3,21042018.0,154.9,4,3.3,16.0,89.11,3,,False,False,21.3,,37434.0,8460.0,1.0,441.0,2.0,427.0
102,18,16300000.0,153.0,4,2.71,10.0,89.4,10,,False,False,,1.0,52130.0,14042.0,0.0,,2.0,346.0
103,5,14800000.0,108.7,3,4.0,5.0,72.4,5,,False,False,8.0,,23017.0,2559.0,1.0,559.0,0.0,
104,11,3850000.0,31.7,1,2.5,5.0,17.9,2,,False,False,5.6,2.0,10709.0,10933.0,0.0,,0.0,
105,2,7900000.0,71.8,3,3.0,5.0,38.7,1,,False,False,12.0,,22036.0,3301.0,0.0,,1.0,585.0
106,7,2600000.0,30.2,1,2.65,9.0,26.1,5,,False,False,6.2,,13952.0,15031.0,0.0,,1.0,824.0
107,8,8500000.0,49.9,1,3.0,16.0,18.9,14,,False,False,10.6,,12114.0,8946.0,1.0,749.0,1.0,833.0
108,12,11640000.0,65.2,2,,,30.8,4,,False,False,12.0,,39197.0,12373.0,1.0,123.0,0.0,
109,9,4300000.0,52.3,2,,12.0,29.8,4,,False,False,10.9,,32794.0,13643.0,0.0,,0.0,
110,15,4600000.0,38.5,1,2.5,12.0,18.5,5,,False,False,,,49065.0,16735.0,1.0,501.0,0.0,
111,0,6150000.0,62.0,3,,9.0,41.5,5,,False,False,8.5,2.0,41954.0,12168.0,1.0,10.0,0.0,
112,4,5200000.0,62.8,3,,9.0,39.7,2,,False,False,9.7,0.0,12988.0,15579.0,0.0,,2.0,898.0
113,18,6400000.0,55.8,3,2.5,9.0,38.0,2,,False,False,7.7,2.0,19386.0,16606.0,0.0,,0.0,
114,6,7920000.0,83.8,4,2.47,9.0,55.9,9,,False,False,9.8,1.0,30352.0,7724.0,0.0,,1.0,289.0
115,19,7700000.0,85.0,3,2.7,10.0,50.0,1,,False,False,11.0,,15923.0,14719.0,0.0,,1.0,212.0
116,8,5300000.0,60.0,3,,9.0,,4,,False,False,,0.0,52072.0,17061.0,1.0,1133.0,3.0,239.0
117,7,8715960.0,57.0,1,,5.0,20.0,5,,False,False,16.0,0.0,17462.0,16465.0,1.0,1205.0,2.0,97.0
118,5,10880000.0,123.1,6,3.2,5.0,89.0,2,,False,False,11.0,,26009.0,3369.0,2.0,516.0,0.0,
119,6,4700000.0,67.0,3,2.7,9.0,43.4,1,,False,False,8.8,2.0,15361.0,14157.0,0.0,,0.0,
120,2,3999000.0,34.1,1,2.7,25.0,14.47,12,,False,False,10.4,0.0,18488.0,15945.0,0.0,,0.0,
121,16,5080000.0,31.3,1,2.5,7.0,16.0,4,False,False,False,7.6,1.0,27753.0,6692.0,1.0,860.0,1.0,694.0
122,11,9000000.0,72.6,2,2.9,5.0,43.2,4,,False,False,11.4,,22794.0,1645.0,2.0,276.0,3.0,485.0
123,14,4700000.0,45.0,2,2.5,9.0,27.4,4,,False,False,8.6,,42566.0,15070.0,0.0,,0.0,
124,12,8000000.0,54.0,2,2.77,18.0,31.0,10,,False,False,11.0,,7659.0,13841.0,0.0,,0.0,
125,0,10018000.0,82.0,3,,23.0,47.0,9,,False,False,13.0,1.0,9655.0,13255.0,1.0,980.0,1.0,1093.0
126,11,8700000.0,111.4,4,3.1,4.0,73.2,2,,False,False,14.1,,20936.0,1218.0,1.0,463.0,3.0,55.0
127,5,4150000.0,50.41,2,2.5,9.0,31.1,8,,False,False,7.0,1.0,41954.0,12168.0,1.0,10.0,0.0,
128,14,6700000.0,65.6,2,2.55,10.0,36.7,10,,False,False,10.9,2.0,11657.0,11992.0,1.0,591.0,1.0,192.0
129,19,6550000.0,79.0,4,2.6,9.0,55.3,6,,False,False,10.0,1.0,49666.0,16010.0,0.0,,0.0,
130,11,4690000.0,35.0,1,2.7,17.0,16.0,15,False,False,False,9.8,1.0,36237.0,13151.0,0.0,,0.0,
131,12,7700000.0,58.7,1,,7.0,17.0,3,,False,False,15.7,,24102.0,4670.0,1.0,239.0,0.0,
132,8,3890000.0,37.0,1,2.5,25.0,28.0,6,,False,False,9.0,,25408.0,16166.0,0.0,,0.0,
133,7,5950000.0,59.6,2,,25.0,31.48,17,,False,False,13.29,,43074.0,10820.0,0.0,,0.0,
134,17,7950000.0,86.4,4,,3.0,52.7,1,,False,False,12.7,,31729.0,2468.0,0.0,,0.0,
135,11,7290000.0,74.3,3,,24.0,41.9,3,,False,False,16.5,,43820.0,10987.0,0.0,,0.0,
136,11,3250000.0,34.3,1,,11.0,14.73,7,,False,False,9.36,,22425.0,24137.0,0.0,,2.0,398.0
137,15,4250000.0,56.9,3,,9.0,38.8,8,False,False,False,6.2,2.0,32350.0,12943.0,0.0,,0.0,
138,14,3900000.0,42.2,1,,14.0,14.7,4,,False,False,10.4,,23239.0,12102.0,1.0,1021.0,1.0,893.0
139,17,19800000.0,118.0,3,2.8,25.0,62.0,3,,False,False,21.5,,36827.0,12348.0,1.0,485.0,1.0,474.0
140,3,7820000.0,57.0,2,,5.0,33.0,3,,False,False,8.0,,26852.0,5700.0,2.0,586.0,0.0,
141,14,3650000.0,35.8,1,2.5,14.0,20.3,2,,False,False,7.7,0.0,46532.0,16030.0,0.0,,0.0,
142,4,2438033.0,28.1,1,,,20.75,1,,False,False,,0.0,22041.0,17369.0,0.0,,1.0,374.0
143,5,5420000.0,43.4,1,,24.0,,2,,False,False,12.4,2.0,23982.0,11634.0,0.0,,0.0,
144,16,22000000.0,119.0,3,3.5,5.0,56.0,3,False,False,False,35.0,0.0,21698.0,2004.0,1.0,688.0,1.0,86.0
145,6,4700000.0,42.0,2,2.7,5.0,27.0,2,,False,False,6.0,1.0,11944.0,13619.0,0.0,,0.0,
146,7,7990000.0,55.0,2,2.8,16.0,29.0,6,,False,False,10.0,2.0,41841.0,11838.0,1.0,275.0,0.0,
147,19,7250000.0,57.0,2,,6.0,29.0,5,,False,False,10.0,,9226.0,12619.0,1.0,546.0,0.0,
148,9,6850000.0,57.1,2,,9.0,29.5,4,,False,False,9.0,0.0,9774.0,10315.0,1.0,466.0,0.0,
149,6,6000000.0,46.4,1,2.5,16.0,18.0,5,False,False,False,11.5,1.0,9968.0,13344.0,0.0,,0.0,
150,20,4500000.0,52.5,2,2.6,14.0,29.5,11,,False,False,7.5,2.0,13787.0,11753.0,0.0,,0.0,
151,7,4100000.0,31.0,1,3.0,17.0,10.0,6,False,False,False,,0.0,39771.0,8672.0,1.0,139.0,0.0,
152,15,5000000.0,43.0,1,2.8,16.0,17.0,11,,False,False,12.5,,39771.0,8672.0,1.0,139.0,0.0,
153,17,3340000.0,37.0,1,,5.0,19.0,4,,False,False,10.0,,47303.0,25866.0,1.0,251.0,1.0,350.0
154,10,3350000.0,31.2,1,2.5,9.0,15.6,9,,False,False,8.2,0.0,46911.0,16431.0,0.0,,0.0,
155,0,5350000.0,65.6,3,2.5,9.0,42.8,2,,False,False,9.5,2.0,12975.0,15566.0,0.0,,0.0,
156,8,17250000.0,102.4,3,,8.0,53.2,3,,False,False,19.3,1.0,39393.0,11096.0,1.0,537.0,0.0,
157,14,37500000.0,158.0,4,,12.0,88.0,4,,False,False,40.0,,25799.0,4593.0,0.0,,2.0,840.0
158,12,39900000.0,140.6,2,3.5,8.0,39.8,7,,False,False,49.2,4.0,32537.0,6589.0,0.0,,3.0,99.0
159,1,3930000.0,37.9,1,,10.0,17.8,6,False,False,False,8.3,2.0,14286.0,15280.0,0.0,,1.0,115.0
160,2,14700000.0,120.0,3,2.75,20.0,63.0,18,,False,False,16.0,5.0,39204.0,10430.0,2.0,627.0,3.0,77.0
161,16,4200000.0,60.1,3,2.65,9.0,43.0,1,,False,False,7.0,2.0,28530.0,14249.0,0.0,,1.0,623.0
162,13,3700000.0,34.0,1,2.6,10.0,18.0,8,,False,False,8.0,1.0,32831.0,13995.0,1.0,104.0,1.0,393.0
163,11,4750000.0,57.2,2,2.5,10.0,29.8,1,,False,False,11.6,,35966.0,16267.0,1.0,450.0,3.0,309.0
164,9,4318000.0,37.55,1,,14.0,15.2,10,,False,False,8.9,2.0,22098.0,23810.0,0.0,,2.0,100.0
165,5,23900000.0,108.4,3,3.06,7.0,,6,,False,False,,,26819.0,5026.0,1.0,657.0,1.0,678.0
166,5,4600000.0,65.0,3,,15.0,44.0,11,,False,False,11.0,2.0,16124.0,14619.0,2.0,578.0,1.0,685.0
167,19,6000000.0,56.7,2,3.2,5.0,34.1,5,,False,False,9.6,,22800.0,9274.0,1.0,77.0,1.0,542.0
168,19,18450000.0,134.0,4,,18.0,78.0,17,,False,False,30.0,,34991.0,11920.0,0.0,,0.0,
169,15,4900000.0,63.0,2,,9.0,34.4,5,,False,False,,0.0,40880.0,16747.0,0.0,,0.0,
170,17,37000000.0,115.0,2,,5.0,65.0,2,,False,False,14.0,,23537.0,1995.0,2.0,121.0,2.0,663.0
171,7,3200000.0,31.4,1,2.6,9.0,16.0,7,,False,False,9.0,,18927.0,10458.0,0.0,,1.0,792.0
172,5,3810000.0,41.68,1,2.7,19.0,19.0,4,,False,False,10.44,,37792.0,14635.0,0.0,,0.0,
173,11,3150000.0,33.0,1,,6.0,18.0,4,,False,False,7.0,0.0,45133.0,17371.0,0.0,,0.0,
174,10,5900000.0,70.0,3,2.51,5.0,47.4,1,,False,False,8.0,,19859.0,4132.0,1.0,469.0,1.0,118.0
175,20,3850000.0,37.0,1,2.5,16.0,18.2,15,False,False,False,8.8,1.0,41359.0,11491.0,2.0,75.0,0.0,
176,7,5200000.0,56.8,2,,12.0,,11,,False,False,,,16540.0,14877.0,1.0,215.0,0.0,
177,12,5550000.0,68.0,2,,8.0,37.0,3,,False,False,13.0,0.0,17674.0,16470.0,1.0,398.0,2.0,563.0
178,19,7200000.0,70.6,3,2.6,9.0,48.0,6,,False,False,8.0,,15895.0,11223.0,1.0,681.0,0.0,
179,2,2950000.0,32.0,1,2.5,5.0,,1,,False,False,,,42629.0,15133.0,0.0,,0.0,
180,12,6283000.0,70.8,3,,5.0,50.9,5,,False,False,8.2,,25335.0,4235.0,0.0,,0.0,
181,20,5350000.0,65.0,2,2.78,25.0,30.0,9,,False,False,12.0,,16346.0,15142.0,0.0,,0.0,
182,8,4800000.0,58.0,3,,5.0,42.0,1,,False,False,6.0,,10980.0,9467.0,0.0,,0.0,
183,20,12500000.0,86.0,3,2.8,25.0,47.0,3,,False,False,13.0,5.0,52192.0,15686.0,0.0,,1.0,441.0
184,8,3190000.0,31.0,1,2.65,9.0,18.0,4,,False,False,6.5,,44931.0,16446.0,1.0,929.0,0.0,
185,6,5100000.0,48.6,2,,3.0,32.5,3,,False,False,8.0,,42608.0,8765.0,0.0,,0.0,
186,8,13900000.0,108.0,4,,6.0,76.9,2,False,False,False,11.2,,25301.0,3876.0,1.0,320.0,0.0,
187,11,5650000.0,46.3,2,,6.0,28.8,2,,False,False,9.0,0.0,31327.0,3144.0,0.0,,0.0,
188,9,3050000.0,29.4,1,,5.0,15.1,4,,False,False,7.3,,42365.0,9857.0,3.0,510.0,1.0,565.0
189,12,9990000.0,67.0,1,2.84,9.0,37.0,7,,False,False,17.0,1.0,23988.0,5129.0,1.0,741.0,1.0,713.0
190,19,4850000.0,59.7,3,2.5,5.0,47.4,4,,False,False,6.4,1.0,43095.0,15599.0,0.0,,0.0,
191,2,12734000.0,97.0,3,,10.0,51.2,7,,False,False,18.4,0.0,23617.0,5223.0,0.0,,1.0,874.0
192,6,9591727.0,72.0,2,2.8,10.0,34.0,9,,False,False,17.0,0.0,23756.0,5384.0,1.0,2295.0,1.0,534.0
193,0,6090000.0,62.0,2,,28.0,30.0,22,,False,False,10.0,1.0,19971.0,21683.0,0.0,,1.0,546.0
194,4,4500000.0,42.1,2,2.5,9.0,28.0,2,,False,False,7.0,,13889.0,10773.0,0.0,,0.0,
195,6,3900000.0,45.4,2,,5.0,27.8,3,,False,False,7.1,,19947.0,15543.0,1.0,215.0,2.0,920.0
196,3,3200000.0,32.0,1,2.8,12.0,17.0,2,,False,False,6.0,,13482.0,14561.0,0.0,,1.0,97.0
197,11,4950000.0,45.8,2,2.55,9.0,26.7,9,,False,False,6.3,2.0,14107.0,15101.0,0.0,,1.0,295.0
198,15,7500000.0,67.0,2,,17.0,34.0,15,,False,False,13.0,0.0,27918.0,12441.0,1.0,634.0,1.0,465.0
199,16,7100000.0,50.0,3,,5.0,31.5,1,,False,False,5.0,,21341.0,2043.0,2.0,377.0,1.0,411.0
200,1,3300000.0,32.9,1,,12.0,17.9,7,,False,False,6.2,,47694.0,16122.0,0.0,,0.0,
201,10,6000000.0,58.0,2,3.0,5.0,36.6,2,False,False,False,7.9,0.0,39136.0,9974.0,2.0,611.0,1.0,782.0
202,1,21800000.0,163.4,5,3.5,5.0,119.5,2,False,False,False,10.0,,26791.0,5493.0,1.0,349.0,0.0,
203,10,7700000.0,79.0,3,2.9,12.0,47.0,11,,False,False,15.0,5.0,38622.0,14116.0,0.0,,0.0,
204,19,5500000.0,55.0,2,2.7,9.0,31.2,4,,False,False,8.5,2.0,34589.0,12622.0,0.0,,0.0,
205,0,3980000.0,46.2,2,2.5,5.0,28.7,3,False,False,False,6.4,1.0,26990.0,8669.0,0.0,,0.0,
206,13,3200000.0,32.2,1,2.65,9.0,19.0,5,False,False,False,6.5,2.0,46240.0,14856.0,1.0,451.0,0.0,
207,0,2950000.0,30.0,1,2.5,9.0,16.0,5,,False,False,7.0,,14442.0,11734.0,1.0,641.0,1.0,84.0
208,15,9900000.0,85.0,3,2.78,25.0,49.0,14,,False,False,13.0,2.0,39653.0,8913.0,0.0,,0.0,
209,18,6200000.0,46.9,2,3.0,5.0,28.3,5,,False,False,7.9,1.0,31037.0,6337.0,1.0,374.0,3.0,342.0
210,11,3300000.0,33.0,1,2.5,15.0,18.6,1,,False,False,6.3,2.0,51144.0,16472.0,0.0,,0.0,
211,7,3500000.0,34.4,1,2.55,16.0,18.6,5,,False,False,7.1,,21297.0,14515.0,1.0,835.0,2.0,839.0
212,16,8350000.0,87.1,3,3.1,5.0,66.9,2,,False,False,9.5,,32758.0,4855.0,0.0,,2.0,519.0
213,3,5496074.0,48.6,1,,11.0,13.0,3,False,False,False,15.0,2.0,23609.0,5299.0,0.0,,1.0,433.0
214,4,5990000.0,43.5,1,3.0,5.0,25.0,4,,False,False,9.4,,10527.0,10278.0,1.0,93.0,0.0,
215,20,7030000.0,42.6,2,2.7,11.0,29.0,2,,False,False,10.0,,34496.0,15595.0,1.0,513.0,3.0,222.0
216,19,6500000.0,69.7,3,2.5,9.0,42.0,4,,False,False,7.9,,44812.0,15039.0,1.0,301.0,0.0,
217,4,8560000.0,65.7,2,2.76,11.0,30.9,6,,False,False,13.1,1.0,31364.0,5045.0,1.0,485.0,0.0,
